location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci
FLK,2016,7372,14356,208772034.68774414,85517637.88720703,-103.58374890000024,-90.87247119999996,-21.67433796986309
FRA,2016,7854,16366,748275095494.9563,808429125428.9375,149.07863040000015,97.1630988000001,-22.244405569863087
FRO,2016,7956,16366,1304561287.1835938,922901062.6256104,-69.87051714000012,-92.96365271999996,-22.244405569863087
FSM,2016,8058,16366,50810593.17553711,178280071.98693848,-113.34606179999979,-95.93097959999987,-22.244405569863087
GAB,2016,8160,16366,3053409946.0185547,2660731804.6203613,-156.66274859999973,-128.24624219999978,-22.244405569863087
GBR,2016,8262,16366,757342053724.282,830811668520.495,172.7255862000001,92.97843252000013,-22.244405569863087
GEO,2016,8364,16366,5317567704.272247,9261650878.648193,-37.10859245999999,-50.95146329999993,-22.244405569863087
GHA,2016,8466,16366,17354544745.796585,21268115983.63324,-95.54637840000011,-83.15427599999991,-22.244405569863087
GIB,2016,8568,16366,251403151.83496094,8627242991.697083,72.01693680000001,-69.33697859999992,-22.244405569863087
GIN,2016,8670,16366,2323739415.7209473,4219358956.0700684,-167.48642760000018,-128.6558435999997,-22.244405569863087
GMB,2016,8874,16366,339282200.87509155,1051576602.9030762,-66.68244594000004,-79.94205120000018,-22.244405569863087
GNB,2016,8976,16366,312681839.3063965,436548495.95599365,-164.60936459999965,-102.04669560000023,-22.244405569863087
GNQ,2016,9078,16366,3779928447.9285893,1267713087.6486816,-174.81173100000026,-92.88096948,-22.244405569863087
GRC,2016,9180,16366,60181750213.11163,63323648962.25464,14.26057104,117.39972539999988,-22.244405569863087
GRD,2016,9282,16366,517518123.7449951,418742099.947876,-16.178346480000037,-74.15727114000009,-22.244405569863087
GRL,2016,9384,16366,808554071.3842773,725715612.2185669,-108.29191080000015,-96.71666010000011,-22.244405569863087
GTM,2016,9486,16366,13388805316.114563,18528048655.67157,-43.48771529999997,43.09732049999994,-22.244405569863087
GUM,2016,9690,16366,23772454.376220703,739364391.4333496,75.35915550000014,-2.2570389660000023,-22.244405569863087
GUY,2016,9792,16366,1621512848.565552,2095349937.3999634,-49.8160503000001,-79.32256439999989,-22.244405569863087
HKG,2016,9894,16366,208583408419.8252,669957551815.0925,79.00808411999981,152.55188339999984,-22.244405569863087
HND,2016,10098,16366,10422844383.457092,11524595124.42212,-69.35390039999993,-40.20586019999989,-22.244405569863087
HRV,2016,10200,16366,26551365651.854553,25304128482.110718,88.76439227999994,123.54528660000013,-22.244405569863087
HTI,2016,10302,16366,1607923861.2528076,4400235398.383606,-127.92093359999978,-103.13830979999989,-22.244405569863087
HUN,2016,10404,16366,126827101686.82391,107038504771.99805,147.14846400000025,85.77570660000005,-22.244405569863087
IDN,2016,10506,16366,168593590322.46735,161020503003.2296,-16.016695860000013,157.2294605999999,-22.244405569863087
IND,2016,10608,16366,420670668153.63635,425909303324.1847,32.57432933999996,269.2776539999994,-22.244405569863087
IOT,2016,10185,14356,16274367.029174803,32604959.137817383,66.78792409999994,-69.54938217999992,-21.67433796986309
IRL,2016,10812,16366,290037202354.3853,263317031339.84924,144.11435159999988,8.334526080000005,-22.244405569863087
IRN,2016,10914,16366,61023018157.117004,53971865975.51831,-31.059648720000048,-17.250664320000034,-22.244405569863087
IRQ,2016,11016,16366,90850538695.35352,57060698673.90082,-220.49500140000015,-98.6882068800001,-22.244405569863087
ISL,2016,11118,16366,9497105500.03952,9037574735.938232,23.2013178,-34.40777730000002,-22.244405569863087
ISR,2016,11220,16366,98366851972.58301,93960431181.30347,138.308328,70.37069759999991,-22.244405569863087
ITA,2016,11322,16366,562057795681.966,499552885652.1593,137.78757719999987,77.81561639999998,-22.244405569863087
JAM,2016,11424,16366,4246423784.3580933,6587453858.025879,-29.06176145999999,-62.557952519999866,-22.244405569863087
JOR,2016,11526,16366,13789529672.247925,23381624654.749023,-2.403025853999999,4.452181986000004,-22.244405569863087
JPN,2016,11628,16366,836545904859.1047,710560670744.1528,257.91561899999954,-31.439895539999984,-22.244405569863087
KAZ,2016,11730,16366,34726340696.47858,39666922202.660706,-30.554910900000035,-55.68845039999992,-22.244405569863087
KEN,2016,11832,16366,8591709024.767578,19291312560.6557,-63.96628487999991,-2.639038758000002,-22.244405569863087
KGZ,2016,11934,16366,1766661913.1472626,9294297900.001953,3.3661504499999957,30.369353520000058,-22.244405569863087
KHM,2016,12036,16366,18157558156.419098,19437610334.838867,-87.3453233999998,-80.36674554,-22.244405569863087
KIR,2016,12138,16366,131274115.90750122,224726672.0840454,43.10246436000004,-74.75047049999999,-22.244405569863087
KNA,2016,12240,16366,563485916.6366577,562972158.1883545,64.20087059999997,-40.82226455999997,-22.244405569863087
KOR,2016,12342,16366,586614542972.5123,492755529208.8572,208.08813960000006,75.76974630000002,-22.244405569863087
KWT,2016,12444,16366,82027891381.01404,53542678049.83032,-30.27919469999997,-116.93314679999979,-22.244405569863087
LAO,2016,12546,16366,5125311290.413757,7055976739.386902,-106.79890619999986,-85.2606514800001,-22.244405569863087
LBN,2016,12648,16366,18044031926.48346,31563604430.042847,28.815448800000034,111.44293560000007,-22.244405569863087
LBR,2016,12750,16366,976649474.8453369,8198714169.391296,-86.86698113999995,-113.04450899999985,-22.244405569863087
LBY,2016,12852,16366,7290249337.157318,12967109454.60315,-89.77579979999987,-123.39926339999985,-22.244405569863087
LCA,2016,12954,16366,997746583.2690277,1567875358.911255,44.58865230000006,-41.06892299999999,-22.244405569863087
LKA,2016,13056,16366,17528994980.236206,21984070291.22522,-56.53512179999991,52.069536299999974,-22.244405569863087
LSO,2016,13158,16366,859175196.0712891,1650455956.9424438,-109.01981340000006,-96.03191879999991,-22.244405569863087
LTU,2016,13260,16366,30813227776.42627,29638340579.13452,73.38693960000008,146.40643439999988,-22.244405569863087
LUX,2016,13362,16366,113414747049.83734,97141280236.40479,136.401132,126.72182160000025,-22.244405569863087
LVA,2016,13464,16366,16616910884.797485,22632844828.464233,58.27299167999992,126.34086180000023,-22.244405569863087
