location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci
BIH,2017,2652,16366,8295996110.838684,9173716212.326172,47.74668143999996,75.25340699999998,-25.095589905353147
BLM,2017,2619,14356,20185769.42626953,141914312.75891113,51.373960619999956,-43.51161009999997,-24.18609870535315
BLR,2017,2856,16366,33493497635.82361,36241590294.60608,82.49410139999995,87.20783759999988,-25.095589905353147
BLZ,2017,2958,16366,1078870545.833374,1292238697.4735718,-24.117555239999977,-67.03408787999993,-25.095589905353147
BMU,2017,3060,16366,1516605609.692749,3097268432.2279053,111.63924479999991,-48.49126205999992,-25.095589905353147
BOL,2017,3162,16366,8821123203.110458,10435682586.413666,-109.05074999999998,-104.1374814000001,-25.095589905353147
BRA,2017,3264,16366,248601663263.2728,229251878321.68286,18.079443899999998,52.344298799999905,-25.095589905353147
BRB,2017,3366,16366,466025573.03549576,1527027749.4736328,45.625939259999974,-2.9816065739999975,-25.095589905353147
BRN,2017,3468,16366,5894545844.197958,4057756248.5928345,26.86107779999997,-76.18261067999993,-25.095589905353147
BTN,2017,3570,16366,395619223.79418945,765581965.614685,-9.309649140000005,-76.79829900000003,-25.095589905353147
BVT,2017,3492,14356,1504322.0305175781,1198459.9963378906,165.2470659999996,-75.41098741999998,-24.18609870535315
BWA,2017,3774,16366,7050968753.733275,7048416292.680969,-56.22154320000009,-118.04834340000016,-25.095589905353147
CAF,2017,3876,16366,129069975.76060486,275430605.0618439,-15.48143964000002,-58.691738400000105,-25.095589905353147
CAN,2017,3978,16366,498604318269.6304,542205495483.5039,76.74095460000011,123.84544199999968,-25.095589905353147
CCK,2017,3880,14356,2467279.1384277344,9506814.509155273,132.1679514,-23.35243960000001,-24.18609870535315
CHE,2017,4182,16366,415914419369.12415,364289710643.537,231.04963500000045,85.04937071999987,-25.095589905353147
CHL,2017,4284,16366,74895014585.59448,75680324883.9751,-34.94679119999996,-44.91722591999991,-25.095589905353147
CHN,2017,4386,16366,2470236431234.4395,1905488983350.026,115.69961999999994,157.34428199999985,-25.095589905353147
CIV,2017,4488,16366,12557565417.831757,12678383867.11052,-74.82432360000011,-89.26845791999992,-25.095589905353147
CMR,2017,4590,16366,5863603011.904388,7874313938.983643,-103.00140539999994,-104.19190859999992,-25.095589905353147
COD,2017,4692,16366,6287605970.3828125,6850050186.739685,-181.63389899999984,-124.23702000000031,-25.095589905353147
COG,2017,4794,16366,7262836054.26767,3689050175.713684,-130.55311500000008,-118.62404159999998,-25.095589905353147
COK,2017,4656,14356,37478153.40698242,152778452.4631958,19.680198080000004,-70.45884059999989,-24.18609870535315
COL,2017,4998,16366,48661952988.11841,56851871628.274414,19.717955580000005,-17.016008219999993,-25.095589905353147
COM,2017,5100,16366,69219994.16096497,367007088.9616089,-71.92642199999992,-90.30167405999991,-25.095589905353147
CPV,2017,5202,16366,710635744.2589111,1112963813.6830444,-1.3131258660000005,-66.89312490000003,-25.095589905353147
CRI,2017,5304,16366,22164940848.8136,18085612211.36035,29.65056870000008,-5.308625700000013,-25.095589905353147
CUB,2017,5508,16366,1641038738.2009277,6556271652.931702,-80.86200960000004,-115.77391679999992,-25.095589905353147
CUW,2017,5335,14356,1085616727.0324707,1417073250.1276855,19.710417459999974,-54.12226162000008,-24.18609870535315
CXR,2017,5432,14356,18756998.662353516,32202648.471435547,52.30306542000001,-41.84860718000007,-24.18609870535315
CYM,2017,5814,16366,416320569.55029297,4246022959.156006,134.9055774000001,-70.6033289999999,-25.095589905353147
CYP,2017,5916,16366,15381006657.820557,18764301006.163757,61.77050640000009,31.020515400000043,-25.095589905353147
CZE,2017,6018,16366,202251802212.44604,170718611705.7079,181.47308579999984,36.817044839999944,-25.095589905353147
DEU,2017,6222,16366,1765328671785.3047,1447301015063.3535,214.32854040000046,-241.18129499999984,-25.095589905353147
DJI,2017,6324,16366,558441291.1223145,5020139020.93396,-49.69959179999995,-71.42174639999995,-25.095589905353147
DMA,2017,6426,16366,261801081.75927734,454529260.87768555,21.338813100000024,-36.526430520000005,-25.095589905353147
DNK,2017,6528,16366,169733402869.2306,155676975100.85974,117.83585700000005,128.6487036,-25.095589905353147
DOM,2017,6630,16366,18526625869.95056,20101628342.50598,-14.580996899999983,29.43935832000008,-25.095589905353147
DZA,2017,6732,16366,36441998186.60446,56710429560.19922,-97.86575640000024,-121.78218600000015,-25.095589905353147
ECU,2017,6834,16366,20879201655.891327,22399467209.34088,-98.41329647999979,-108.97336259999979,-25.095589905353147
EGY,2017,6936,16366,47660748426.335266,86766760499.3642,-6.245021910000001,189.56192039999954,-25.095589905353147
ERI,2017,7038,16366,365032183.1623535,406529432.8446655,-148.83532980000032,-100.6431806999999,-25.095589905353147
ESH,2017,6790,14356,387688.74768066406,79129695.03259277,62.16091740000003,-65.46723611999987,-24.18609870535315
ESP,2017,7242,16366,450952036858.44336,404465838832.10583,78.26280479999993,283.4586834,-25.095589905353147
EST,2017,7344,16366,21176268814.88861,23847373439.282654,103.60893779999994,133.01254919999982,-25.095589905353147
ETH,2017,7446,16366,6179379679.20752,15386966951.44519,-100.38166391999984,-62.93953859999996,-25.095589905353147
FIN,2017,7548,16366,98411469565.77106,101507092117.84814,167.68517460000012,99.23439240000012,-25.095589905353147
FJI,2017,7650,16366,2380641768.9077454,2803517586.413025,-25.816325459999966,2.486114034000001,-25.095589905353147
FLK,2017,7372,14356,168546153.8479004,117159515.14849854,-147.97492590000016,-89.32042270000011,-24.18609870535315
FRA,2017,7854,16366,795635196020.3123,861208526722.6191,143.31286619999995,95.2607069999998,-25.095589905353147
FRO,2017,7956,16366,1392805716.7662354,993244955.7862549,-96.45574919999987,-94.65179759999992,-25.095589905353147
FSM,2017,8058,16366,78326802.89440918,209176288.94384766,-106.1026949999999,-93.40461810000002,-25.095589905353147
GAB,2017,8160,16366,3808566151.17865,2256660698.027466,-110.2268099999997,-119.81341260000016,-25.095589905353147
GBR,2017,8262,16366,798491082193.5785,837022459671.593,171.3602958000003,87.61934640000017,-25.095589905353147
GEO,2017,8364,16366,6529821495.989624,10320243517.748047,-25.935809279999997,-35.366465100000035,-25.095589905353147
GHA,2017,8466,16366,19045072054.059822,23603845196.182922,-90.74168471999992,-79.49908559999999,-25.095589905353147
GIB,2017,8568,16366,347892577.1118164,9313387897.847412,72.88374299999988,-72.26340960000012,-25.095589905353147
GIN,2017,8670,16366,2441736004.714081,4865899065.146423,-161.9194410000001,-126.89250840000018,-25.095589905353147
GMB,2017,8874,16366,307016208.44140625,1388470850.1345215,-111.44711759999977,-95.16763812,-25.095589905353147
GNB,2017,8976,16366,313962202.9830322,517075078.70373535,-236.88964500000037,-94.0093750800001,-25.095589905353147
GNQ,2017,9078,16366,4330100615.080933,867605968.6369629,-175.9162482,-90.73885320000007,-25.095589905353147
GRC,2017,9180,16366,69584980614.98828,71808828997.79407,17.586386100000016,119.48091299999984,-25.095589905353147
GRD,2017,9282,16366,585495392.2695312,466673588.303833,12.26042346,-60.56848229999998,-25.095589905353147
GRL,2017,9384,16366,905834514.6149902,710776803.8714905,-124.13685599999992,-92.2292873999999,-25.095589905353147
GTM,2017,9486,16366,13970832950.566956,20359445631.192993,-39.84646115999993,57.01287960000005,-25.095589905353147
GUM,2017,9690,16366,27845355.002197266,796467507.4026814,74.59787339999998,5.909913660000008,-25.095589905353147
GUY,2017,9792,16366,1699336789.6724854,1635299853.9779663,-82.12045193999994,-93.0596082,-25.095589905353147
HKG,2017,9894,16366,213450714188.45312,700489464493.0513,88.14778799999988,174.38572800000028,-25.095589905353147
HMD,2017,9506,14356,1114326.6271972656,509877.0065917969,117.93937059999969,-77.16718115000008,-24.18609870535315
HND,2017,10098,16366,10862828745.253601,12152528142.085632,-63.26115479999996,-34.21572659999999,-25.095589905353147
HRV,2017,10200,16366,30113503791.807007,29396122498.320312,88.63323660000009,139.85250600000023,-25.095589905353147
HTI,2017,10302,16366,1534708398.9700928,5125440462.755005,-100.80921119999994,-93.71127089999982,-25.095589905353147
HUN,2017,10404,16366,139663303442.62042,120213603825.07,152.7427968000003,86.99104680000006,-25.095589905353147
IDN,2017,10506,16366,193891058178.99707,180121469023.0785,-22.320228539999974,124.50957420000019,-25.095589905353147
IND,2017,10608,16366,477878291777.9956,516661253788.369,30.76785528000002,283.92974999999973,-25.095589905353147
IOT,2017,10185,14356,14103353.594604492,68316691.16015625,42.44069421000006,-63.17173015000006,-24.18609870535315
IRL,2017,10812,16366,335110726110.00134,309564546273.7655,136.5801215999999,16.921265520000016,-25.095589905353147
IRN,2017,10914,16366,87320537703.93872,63989247035.44537,-31.89786533999994,-32.318475600000056,-25.095589905353147
IRQ,2017,11016,16366,63975080859.831055,66263538702.5647,-153.9823824000001,-92.12501687999992,-25.095589905353147
ISL,2017,11118,16366,11032479709.448227,10206891692.936035,41.46147204000002,-25.57362360000006,-25.095589905353147
ISR,2017,11220,16366,104018962043.15436,99432972445.65723,143.92976220000017,80.3519963400001,-25.095589905353147
ITA,2017,11322,16366,618866554646.2668,555626123536.5405,139.0079867999997,55.735798800000055,-25.095589905353147
JAM,2017,11424,16366,4668306772.754242,7615501897.248169,-47.74743419999995,-76.54467600000014,-25.095589905353147
JOR,2017,11526,16366,14556620093.616455,24801227267.92566,3.787943400000002,31.705149599999935,-25.095589905353147
JPN,2017,11628,16366,902666485815.8285,775188610390.5801,251.57245319999973,-28.349689259999977,-25.095589905353147
KAZ,2017,11730,16366,45013357873.27432,46931078426.38214,-39.01700531999999,-56.214213479999906,-25.095589905353147
KEN,2017,11832,16366,10270201684.38916,20706784192.754333,-57.94301148000007,52.16907300000009,-25.095589905353147
KGZ,2017,11934,16366,2317460737.3581505,9855583071.260864,-8.956529220000009,29.375874540000062,-25.095589905353147
KHM,2017,12036,16366,19551984314.09735,22882123869.188965,-65.21897646000014,-63.45283320000013,-25.095589905353147
KIR,2017,12138,16366,138808370.6288452,209740848.46984863,-144.81038939999988,-92.54650740000008,-25.095589905353147
KNA,2017,12240,16366,574546237.5495911,643012647.8000488,80.44982759999998,-38.26628430000004,-25.095589905353147
KOR,2017,12342,16366,660238581073.5426,572528454910.8964,205.6669758000004,80.42472131999992,-25.095589905353147
KWT,2017,12444,16366,99632182819.80688,59042122413.982544,-21.238899,-114.52612019999975,-25.095589905353147
LAO,2017,12546,16366,5810250678.098328,7665569439.072266,-96.69840719999992,-72.82664849999989,-25.095589905353147
LBN,2017,12648,16366,18347521327.376526,33144728637.398132,28.42069655999995,116.4326735999999,-25.095589905353147
LBR,2017,12750,16366,842737613.8808289,8645949612.630249,-47.064393239999916,-100.5476270999998,-25.095589905353147
LBY,2017,12852,16366,17442852408.450806,9296819706.752808,-115.56816240000015,-123.20969640000008,-25.095589905353147
LCA,2017,12954,16366,972921095.0865631,2006928314.9479368,47.71627116000008,-14.809364699999987,-25.095589905353147
LKA,2017,13056,16366,19118006003.992126,23964058409.515015,-44.74040993999995,49.220140800000046,-25.095589905353147
LSO,2017,13158,16366,1057809966.8322144,1921671998.0848389,-92.10123660000023,-81.05857379999995,-25.095589905353147
LTU,2017,13260,16366,36673116922.49866,34707187297.640625,87.93616860000022,150.9724542,-25.095589905353147
LUX,2017,13362,16366,119363398721.20624,103844689268.36816,122.25516000000033,136.93364339999977,-25.095589905353147
LVA,2017,13464,16366,18274749436.620056,24656571900.671387,70.25333640000004,139.26517979999974,-25.095589905353147
MAC,2017,13566,16366,40235003353.53424,15520453754.061768,31.81734654000004,-8.589345539999991,-25.095589905353147
MAR,2017,13668,16366,44774398359.664795,50373147407.54175,-76.20497520000009,-7.837480080000011,-25.095589905353147
MDA,2017,13770,16366,4105502632.4419556,5975437391.373688,-23.248976279999997,-14.548050899999973,-25.095589905353147
MDG,2017,13872,16366,4256312581.555237,4936656921.695007,-129.28996740000025,-65.56878240000017,-25.095589905353147
MDV,2017,13974,16366,3384716019.3547363,3068357948.140869,-111.60543179999983,-96.89291099999981,-25.095589905353147
MEX,2017,14076,16366,444481642474.71045,426257593103.7002,109.68427199999971,59.373628800000105,-25.095589905353147
MHL,2017,14178,16366,538773460.1931152,16123001534.96277,-9.13293312,-78.41262239999983,-25.095589905353147
MKD,2017,14280,16366,7976950860.491791,8306087561.668854,6.151244436000007,-13.576495800000028,-25.095589905353147
MLI,2017,14382,16366,1909113456.1054153,5869374092.547241,-57.56544419999988,-73.84879967999991,-25.095589905353147
MLT,2017,14484,16366,21173261519.76532,27941689548.35193,102.3513695999998,13.294616760000014,-25.095589905353147
MMR,2017,14586,16366,16809443326.518402,25961121726.028503,-100.51633451999984,-40.84417211999997,-25.095589905353147
MNE,2017,14688,16366,2069297661.4132414,3207960762.0976562,24.905717400000018,-19.58199876000003,-25.095589905353147
MNG,2017,14790,16366,6942914426.41098,6513760227.439026,-94.77033792000015,-113.63575199999981,-25.095589905353147
MNP,2017,14892,16366,3170109.742553711,151708408.33843994,123.93962879999984,-62.811055319999916,-25.095589905353147
MOZ,2017,14994,16366,5951675915.25885,11346911922.828674,-141.00710519999998,-113.47025700000007,-25.095589905353147
MRT,2017,15096,16366,2403157003.1400757,3926408850.0533447,-163.04204279999985,-134.1823872000002,-25.095589905353147
MSR,2017,14453,14356,16527282.704589844,18187155.64086914,92.55157999999993,-62.73357629999994,-24.18609870535315
MUS,2017,15402,16366,5207752065.108307,6921468118.800842,-19.75032119999999,-2.7959919720000057,-25.095589905353147
MWI,2017,15504,16366,1008666236.0684204,2000817351.1835938,-87.22318247999978,-101.48835779999983,-25.095589905353147
MYS,2017,15606,16366,276844301884.38794,230419341389.47522,106.02926520000018,71.0290769999999,-25.095589905353147
NAM,2017,15810,16366,5443519378.267822,6429650077.752563,-51.772517400000126,-74.74428725999998,-25.095589905353147
NCL,2017,15912,16366,1216838757.1141357,2193862012.191162,-47.91817199999993,-80.0535514799999,-25.095589905353147
NER,2017,16014,16366,867051858.4168091,2214093920.314636,-144.11498399999996,-100.83840360000008,-25.095589905353147
NFK,2017,15326,14356,1386097.6037597656,49748903.34490967,120.36027720000021,-50.37196419999992,-24.18609870535315
NGA,2017,16218,16366,48399307213.91151,55033240694.938965,-184.0527371999998,-129.35409479999993,-25.095589905353147
NIC,2017,16320,16366,6521914996.243652,7378694780.587219,-104.7941675999999,-88.47779880000012,-25.095589905353147
NIU,2017,15617,14356,42873997.49194336,23443392.65045166,28.541218889999975,-78.78213899999999,-24.18609870535315
NLD,2017,16524,16366,694711674326.6785,698979838040.4258,112.60167599999996,161.20906200000005,-25.095589905353147
NOR,2017,16626,16366,141156847561.7064,129068811417.59705,73.83868332000004,14.286678960000014,-25.095589905353147
NPL,2017,16728,16366,2311492566.404175,9948932456.991333,-27.518661599999938,61.74703926000005,-25.095589905353147
NRU,2017,16005,14356,22656317.56677246,47650121.60974121,79.31401910000017,-22.157939890000012,-24.18609870535315
NZL,2017,16932,16366,54028866272.266785,47600372291.96838,25.88118011999997,17.11072440000002,-25.095589905353147
OMN,2017,17034,16366,52149414724.91798,42441937810.62036,-35.39915916000005,-89.61133499999987,-25.095589905353147
PAK,2017,17136,16366,27528422373.458435,69048665580.0025,-67.29356873999998,49.27553394,-25.095589905353147
PAN,2017,17238,16366,18423062254.263184,42836768429.50305,7.479795660000007,-32.85867269999999,-25.095589905353147
PCN,2017,16587,14356,862807.2722167969,4235901.494628906,-14.022789479999973,-77.7495934,-24.18609870535315
PER,2017,17646,16366,48750192116.39038,44982120263.829956,-68.0145587999999,-31.552669800000054,-25.095589905353147
PHL,2017,17748,16366,113715622529.26474,143833858918.8999,70.46507819999987,18.767882699999976,-25.095589905353147
PLW,2017,17850,16366,156901162.3106079,171487524.23284912,77.92212480000002,-53.428354800000086,-25.095589905353147
PNG,2017,17952,16366,9111984542.042358,5974478993.735657,-180.97010340000014,-128.39479500000027,-25.095589905353147
POL,2017,18054,16366,279207658932.152,276434637129.30237,122.59542180000021,113.44614419999984,-25.095589905353147
PRK,2017,18156,16366,1913439235.0598145,3440232469.429199,-37.25421071999995,-14.34413045999999,-25.095589905353147
PRT,2017,18258,16366,93411380184.4046,91221496103.69043,57.64266839999997,228.00707700000035,-25.095589905353147
PRY,2017,18360,16366,8182901159.874877,11873756241.022583,-51.32791980000011,-97.19745240000006,-25.095589905353147
PSE,2017,18462,16366,1591740872.9694214,5341935908.445221,13.364213399999983,64.31200470000012,-25.095589905353147
PYF,2017,18564,16366,157312917.12634277,1442827590.1941528,-12.01988195999998,-75.0014058,-25.095589905353147
QAT,2017,18666,16366,80640454616.72562,59418966316.71417,-40.38564336000003,-108.96721200000029,-25.095589905353147
ROU,2017,18870,16366,94189698758.33667,95698161449.59216,107.95071059999984,101.6911582799998,-25.095589905353147
RUS,2017,18972,16366,430128840865.83734,304037372018.91943,32.32040952,27.75474467999996,-25.095589905353147
RWA,2017,19074,16366,1378596127.6184082,2364727961.3500977,-84.65429820000007,-92.3376654599998,-25.095589905353147
SAU,2017,19176,16366,191908095625.2459,203711987417.73938,56.38345391999993,-40.985357459999946,-25.095589905353147
SDN,2017,19380,16366,6421794068.639282,10534962860.870632,-152.4427638000002,-125.21658719999986,-25.095589905353147
SEN,2017,19482,16366,4696981803.552551,11024170665.793457,-67.16273639999987,-26.188553040000038,-25.095589905353147
SGP,2017,19584,16366,459941875560.0891,474601747260.92236,191.15826119999986,38.69214959999999,-25.095589905353147
SGS,2017,18721,14356,207807.92578125,1115969.9986572266,-62.07726945000006,-84.45812310000007,-24.18609870535315
SHN,2017,18818,14356,21805528.904052734,45320566.126708984,71.00276228000003,-54.69321137999993,-24.18609870535315
SLB,2017,19890,16366,827148398.9905701,682451959.6574707,-114.56990880000009,-95.16649980000001,-25.095589905353147
SLE,2017,19992,16366,891159855.2117615,1552575162.8378296,-35.61729125999994,-61.44322920000005,-25.095589905353147
SLV,2017,20094,16366,8377701269.088989,10446936953.701416,12.925276799999981,25.365007080000062,-25.095589905353147
SMR,2017,20196,16366,128178900.72229004,303271621.15252686,104.0750676000002,63.46341059999998,-25.095589905353147
SOM,2017,20298,16366,375438697.85009766,3041722418.852783,-141.3795888,-106.18681439999982,-25.095589905353147
SPM,2017,19400,14356,4546544.833129883,57880776.560302734,39.48078674,-51.58850909999994,-24.18609870535315
SRB,2017,20502,16366,22905150886.27118,26023417103.1391,56.41943340000011,125.69120339999975,-25.095589905353147
SSD,2017,19594,14356,1120609206.9556887,598385589.4759521,-199.15582159999994,-88.32787699,-24.18609870535315
STP,2017,20706,16366,89203058.56054688,200866645.1118164,55.10359260000005,-46.622221199999956,-25.095589905353147
SUR,2017,20910,16366,2212302550.756653,1714349302.1207275,-59.72917020000009,-100.52395799999998,-25.095589905353147
SVK,2017,21012,16366,91005063696.90723,86994590561.48376,132.30991200000008,87.06110448000007,-25.095589905353147
SVN,2017,21114,16366,40053063065.82446,41878505100.826416,167.8347474,85.27957145999991,-25.095589905353147
SWE,2017,21216,16366,227298472844.21777,220556728161.29114,180.79453079999976,75.0512991000001,-25.095589905353147
SWZ,2017,21318,16366,2028220635.7089844,1913896505.0654297,16.523311500000002,-52.460639999999955,-25.095589905353147
SXM,2017,20370,14356,120972078.06262207,697303418.1291504,94.33507050000006,-75.28921750000013,-24.18609870535315
SYC,2017,21522,16366,1575222402.7666006,1461249836.4804077,47.91149100000006,-50.56723031999988,-25.095589905353147
SYR,2017,21624,16366,765356952.050415,5993578988.910828,-59.66061599999991,39.16497876000004,-25.095589905353147
TCA,2017,21726,16366,17366637.717773438,413994471.9313965,97.94142000000024,10.419632928,-25.095589905353147
TCD,2017,21828,16366,1083154267.0266113,610060374.534729,-260.1993173999993,-97.61507813999985,-25.095589905353147
TGO,2017,21930,16366,2912007573.236511,9928609727.131165,-93.30370440000016,-92.91326879999995,-25.095589905353147
THA,2017,22032,16366,312157546202.3674,236139047381.6018,102.10892579999988,143.44298760000012,-25.095589905353147
TJK,2017,22134,16366,1202419147.0944214,3874336933.0390015,-117.50173559999983,-119.47719000000015,-25.095589905353147
TKL,2017,21146,14356,56063833.486206055,52190376.99047852,20.277389250000013,-48.89110011999994,-24.18609870535315
TKM,2017,22338,16366,6640405183.428833,4421856484.192139,-156.10798080000015,-128.90780399999986,-25.095589905353147
TLS,2017,22440,16366,171258267.7602234,1046268684.3580322,-37.48437779999996,-74.64931709999998,-25.095589905353147
TON,2017,22542,16366,94835173.21386719,233284000.03460693,-55.15636740000012,-86.11567260000014,-25.095589905353147
TTO,2017,22644,16366,9401166686.380737,8851396900.633911,-24.227598959999973,-104.94890160000016,-25.095589905353147
TUN,2017,22746,16366,18226840205.38855,23440612585.57428,24.698423819999963,98.37002706000011,-25.095589905353147
TUR,2017,22848,16366,201140513521.6493,244806411457.87952,57.159616800000066,237.5299397999998,-25.095589905353147
TUV,2017,22950,16366,7387834.95690918,84385708.56726074,123.90512220000018,-61.28548619999989,-25.095589905353147
