location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci,country_name
BTN,2018,3570,16366,471312274.88452154,1053487146.4057007,-9.645917639999999,-77.91137399999998,-26.43841369591136,Bhutan
BVT,2018,3492,14356,2780713.7028808594,8089398.001708984,80.78615318000003,-74.03192290000018,-25.27750739591136,Bouvet Island
BWA,2018,3774,16366,6376814225.743332,7589318638.881012,-77.932998,-117.50211300000021,-26.43841369591136,Botswana
CAF,2018,3876,16366,92613417.67871094,254085098.2062378,-67.37617140000013,-85.91970713999991,-26.43841369591136,Central African Republic
CAN,2018,3978,16366,533300423686.9334,578562016176.1804,69.13377420000013,118.12606739999974,-26.43841369591136,Canada
CCK,2018,3880,14356,3242135.8907470703,7347261.533081055,73.70153119999985,-35.166715620000026,-25.27750739591136,Cocos (Keeling) Islands
CHE,2018,4182,16366,431367743159.28613,373924931906.35706,228.42525660000038,77.50447560000015,-26.43841369591136,Switzerland
CHL,2018,4284,16366,81866081262.44934,85148376279.23376,-35.34272765999991,-48.64368269999996,-26.43841369591136,Chile
CHN,2018,4386,16366,2703782033932.59,2174728641542.266,121.67598360000011,139.13143739999964,-26.43841369591136,China
CIV,2018,4488,16366,11706635339.394012,10442753113.409729,-76.91817960000003,-83.06207819999977,-26.43841369591136,Côte d'Ivoire
CMR,2018,4590,16366,4007921001.4594116,6096874379.931702,-159.68853780000018,-120.02035019999985,-26.43841369591136,Cameroon
COD,2018,4692,16366,9381255651.688232,10013842411.450073,-185.45541059999982,-123.22444559999998,-26.43841369591136,Congo (Brazzaville)
COG,2018,4794,16366,11735783328.400238,3270308953.6170044,-134.80152719999975,-116.2351811999999,-26.43841369591136,Congo (Kinshasa)
COK,2018,4656,14356,34762918.85888672,156239602.89556885,45.22059490000006,-72.39840409999985,-25.27750739591136,Cook Islands
COL,2018,4998,16366,53011243458.53882,62508937085.055786,21.13935414000005,-17.332110300000014,-26.43841369591136,Colombia
COM,2018,5100,16366,82475857.4501648,363009052.9277344,-33.32922113999995,-83.40655259999993,-26.43841369591136,Comoros
CPV,2018,5202,16366,798738112.3357544,1219290071.8927612,-22.429044180000034,-82.25577329999997,-26.43841369591136,Cape Verde
CRI,2018,5304,16366,22227181226.839233,18988998226.19861,22.092250380000024,5.765385372000004,-26.43841369591136,Costa Rica
CUB,2018,5508,16366,1290121894.1193237,6107278466.070557,-84.56213100000006,-114.9511236000003,-26.43841369591136,Cuba
CXR,2018,5432,14356,19667724.007080078,31696667.674438477,28.779686600000037,-71.86297961999999,-25.27750739591136,Christmas Island
CYM,2018,5814,16366,641095754.4133302,4200140837.5723267,14.125746419999981,-84.66192779999992,-26.43841369591136,Cayman Islands
CYP,2018,5916,16366,17146214803.472351,22201355507.78888,48.434557200000086,-6.588661439999991,-26.43841369591136,Cyprus
CZE,2018,6018,16366,227394105392.8506,195719212393.82227,182.9928960000003,37.941146040000056,-26.43841369591136,Czech Republic
DEU,2018,6222,16366,1905647013474.4124,1587502808600.119,213.11663759999982,-229.33567800000026,-26.43841369591136,Germany
DJI,2018,6324,16366,132679926.48571777,5716906442.567871,-19.236287099999974,-59.990548260000004,-26.43841369591136,Djibouti
DMA,2018,6426,16366,54900651.60852051,348585510.0328369,26.56501872000005,-30.680441280000032,-26.43841369591136,Dominica
DNK,2018,6528,16366,181215332113.67133,172484891858.29834,109.90254179999992,142.44528479999988,-26.43841369591136,Denmark
DOM,2018,6630,16366,17460357552.991272,21475379526.39258,-14.882363039999982,-33.17848553999997,-26.43841369591136,Dominican Republic
DZA,2018,6732,16366,37806780605.327515,48909864179.786865,-161.34036659999958,-123.45176279999977,-26.43841369591136,Algeria
ECU,2018,6834,16366,23569762744.628784,25429695395.658325,-92.63578289999985,-102.24920640000016,-26.43841369591136,Ecuador
EGY,2018,6936,16366,55676143781.945984,97166877741.01562,-5.602419767999994,161.02038239999987,-26.43841369591136,Egypt
ERI,2018,7038,16366,352130953.5957031,415314005.932251,-204.90684120000006,-100.57647779999988,-26.43841369591136,Eritrea
ESH,2018,6790,14356,490605.6680908203,10349428.056762695,181.46713440000028,-71.71751259999989,-25.27750739591136,Western Sahara
ESP,2018,7242,16366,478572775707.87756,450032384275.0503,75.76155671999997,304.07055779999934,-26.43841369591136,Spain
EST,2018,7344,16366,24135641582.465515,26858356675.093018,98.69274180000001,130.4118246,-26.43841369591136,Estonia
ETH,2018,7446,16366,2436566000.166382,10348650010.100006,-90.58667939999997,-53.33664966,-26.43841369591136,Ethiopia
FIN,2018,7548,16366,109447600641.3866,114085793044.58618,162.31400759999974,96.67604879999992,-26.43841369591136,Finland
